i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:0,200,0;rot:0,135.0001,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_371;pos:1781.909,100,1781.909;rot:0,44.99994,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_372;pos:1711.198,200,1852.62;rot:0,44.99994,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_373;pos:1852.62,200,1711.198;rot:0,44.99994,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_374;pos:-1781.909,300,-1781.909;rot:0,44.99994,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_375;pos:-1781.909,100,-1781.909;rot:0,44.99994,0;m:cuboid;scl:21,1,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_376;pos:-1852.62,200,-1711.198;rot:0,44.99994,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_377;pos:-1711.198,200,-1852.62;rot:0,44.99994,0;m:cuboid;scl:1,21,400;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_378;pos:-3196.123,300,3196.123;rot:0,135.0001,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_379;pos:-3196.123,100,3196.123;rot:0,135.0001,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_380;pos:-3125.412,200,3266.833;rot:0,135.0001,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_381;pos:-3266.833,200,3125.412;rot:0,135.0001,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_382;pos:3196.123,300,-3196.123;rot:0,135.0001,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_383;pos:3196.123,100,-3196.123;rot:0,135.0001,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_384;pos:3266.833,200,-3125.412;rot:0,135.0001,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_385;pos:3125.412,200,-3266.833;rot:0,135.0001,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_386;pos:3196.123,300,3196.123;rot:0,44.99994,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_387;pos:3196.123,100,3196.123;rot:0,44.99994,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_388;pos:3125.412,200,3266.833;rot:0,44.99994,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_389;pos:3266.833,200,3125.412;rot:0,44.99994,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_390;pos:-3196.123,300,-3196.123;rot:0,44.99994,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_391;pos:-3196.123,100,-3196.123;rot:0,44.99994,0;m:cuboid;scl:22,2,4;t:ice1;clr:255,255,255,255;;
i:cuboid_392;pos:-3266.833,200,-3125.412;rot:0,44.99994,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_393;pos:-3125.412,200,-3266.833;rot:0,44.99994,0;m:cuboid;scl:2,22,4;t:ice1;clr:255,255,255,255;;
i:cuboid_394;pos:91.92388,200,-91.92388;rot:0,135.0001,0;m:cuboid;scl:11,21,4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_395;pos:-91.92388,200,91.92388;rot:0,135.0001,0;m:cuboid;scl:11,21,4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_396;pos:-91.92388,200,-91.92388;rot:0,44.99994,0;m:cuboid;scl:11,21,4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_397;pos:91.92388,200,91.92388;rot:0,44.99994,0;m:cuboid;scl:11,21,4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_398;pos:-3196.123,200,3196.123;rot:0,135.0001,0;m:cuboid;scl:21,21,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_399;pos:3196.123,200,-3196.123;rot:0,135.0001,0;m:cuboid;scl:21,21,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_400;pos:3196.123,200,3196.123;rot:0,44.99994,0;m:cuboid;scl:21,21,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_401;pos:-3196.123,200,-3196.123;rot:0,44.99994,0;m:cuboid;scl:21,21,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cylinder_402;pos:-148.4924,200,332.3402;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_403;pos:-332.3402,200,148.4924;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_404;pos:332.3402,200,-148.4924;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_405;pos:148.4924,200,-332.3402;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_406;pos:148.4924,200,332.3402;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_407;pos:332.3402,200,148.4924;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_408;pos:-332.3402,200,-148.4924;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_409;pos:-148.4924,200,-332.3402;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_410;pos:148.4924,200,332.3402;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_411;pos:332.3402,200,148.4924;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_412;pos:-332.3402,200,-148.4924;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_413;pos:-148.4924,200,-332.3402;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_414;pos:0,200,183.8478;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_415;pos:-183.8478,200,0;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_416;pos:183.8478,200,0;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_417;pos:0,200,-183.8478;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_418;pos:0,200,183.8478;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_419;pos:-183.8478,200,0;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_420;pos:183.8478,200,0;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_421;pos:0,200,-183.8478;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_422;pos:0,200,848.5281;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_423;pos:-848.5281,200,0;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_424;pos:848.5281,200,0;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_425;pos:0,200,-848.5281;rot:0,135.0001,0;m:cylinder;scl:2,11,2;t:ice1;clr:255,255,255,255;;
i:cylinder_426;pos:0,200,848.5281;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_427;pos:-848.5281,200,0;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_428;pos:848.5281,200,0;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cylinder_429;pos:0,200,-848.5281;rot:0,135.0001,0;m:cylinder;scl:2.1,11,2.1;clr:255,255,255,255;l:0;;
i:cuboid_430;pos:-120.2082,300,544.4722;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_431;pos:-544.4722,300,120.2082;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_432;pos:544.4722,300,-120.2082;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_433;pos:120.2082,300,-544.4722;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_434;pos:120.2082,300,544.4722;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_435;pos:544.4722,300,120.2082;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_436;pos:-544.4722,300,-120.2082;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_437;pos:-120.2082,300,-544.4722;rot:0,135.0001,0;m:cuboid;scl:2,0.8,2;t:ice1;clr:255,255,255,255;;
i:cuboid_438;pos:-120.2082,300,544.4722;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_439;pos:-544.4722,300,120.2082;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_440;pos:544.4722,300,-120.2082;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_441;pos:120.2082,300,-544.4722;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_442;pos:120.2082,300,544.4722;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_443;pos:544.4722,300,120.2082;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_444;pos:-544.4722,300,-120.2082;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_445;pos:-120.2082,300,-544.4722;rot:0,135.0001,0;m:cuboid;scl:2.1,0.9,2.1;clr:255,255,255,255;l:0;;
i:cuboid_486;pos:275.7716,200,205.061;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_487;pos:292.3402,200,217.7745;rot:0,150,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_488;pos:311.6347,200,225.7665;rot:0,165,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_489;pos:332.3402,200,228.4924;rot:0,180,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_490;pos:353.0457,200,225.7665;rot:0,195,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_491;pos:372.3402,200,217.7745;rot:0,210,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_492;pos:388.9087,200,205.061;rot:0,224.9999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_493;pos:205.061,200,275.7716;rot:0,135.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_494;pos:240.4163,300,240.4163;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_495;pos:267.3402,300,261.0757;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_496;pos:298.6937,300,274.0628;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_497;pos:332.3402,300,278.4924;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_498;pos:365.9867,300,274.0628;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_499;pos:397.3402,300,261.0757;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_500;pos:424.2641,300,240.4163;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_501;pos:240.4163,100,240.4163;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_502;pos:267.3402,100,261.0757;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_503;pos:298.6937,100,274.0628;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_504;pos:332.3402,100,278.4924;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_505;pos:365.9867,100,274.0628;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_506;pos:397.3402,100,261.0757;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_507;pos:424.2641,100,240.4163;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_508;pos:205.061,200,388.9087;rot:0,224.9999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_509;pos:217.7745,200,372.3402;rot:0,240,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_510;pos:225.7665,200,353.0457;rot:0,255,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_511;pos:228.4924,200,332.3402;rot:0,270,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_512;pos:225.7665,200,311.6347;rot:0,285,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_513;pos:217.7745,200,292.3402;rot:0,300,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_514;pos:205.061,200,275.7716;rot:0,315.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_515;pos:275.7716,200,205.061;rot:0,315.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_516;pos:240.4163,300,424.2641;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_517;pos:261.0757,300,397.3402;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_518;pos:274.0628,300,365.9867;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_519;pos:278.4924,300,332.3402;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_520;pos:274.0628,300,298.6937;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_521;pos:261.0757,300,267.3402;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_522;pos:240.4163,300,240.4163;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_523;pos:240.4163,100,424.2641;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_524;pos:261.0757,100,397.3402;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_525;pos:274.0628,100,365.9867;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_526;pos:278.4924,100,332.3402;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_527;pos:274.0628,100,298.6937;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_528;pos:261.0757,100,267.3402;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_529;pos:240.4163,100,240.4163;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_530;pos:-205.061,200,-275.7716;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_531;pos:-217.7745,200,-292.3402;rot:0,120,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_532;pos:-225.7665,200,-311.6347;rot:0,105,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_533;pos:-228.4924,200,-332.3402;rot:0,90,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_534;pos:-225.7665,200,-353.0457;rot:0,74.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_535;pos:-217.7745,200,-372.3402;rot:0,60.00003,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_536;pos:-205.061,200,-388.9087;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_537;pos:-275.7716,200,-205.061;rot:0,135.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_538;pos:-240.4163,300,-240.4163;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_539;pos:-261.0757,300,-267.3402;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_540;pos:-274.0628,300,-298.6937;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_541;pos:-278.4924,300,-332.3402;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_542;pos:-274.0628,300,-365.9867;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_543;pos:-261.0757,300,-397.3402;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_544;pos:-240.4163,300,-424.2641;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_545;pos:-240.4163,100,-240.4163;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_546;pos:-261.0757,100,-267.3402;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_547;pos:-274.0628,100,-298.6937;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_548;pos:-278.4924,100,-332.3402;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_549;pos:-274.0628,100,-365.9867;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_550;pos:-261.0757,100,-397.3402;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_551;pos:-240.4163,100,-424.2641;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_552;pos:-388.9087,200,-205.061;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_553;pos:-372.3402,200,-217.7745;rot:0,29.99999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_554;pos:-353.0457,200,-225.7665;rot:0,14.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_555;pos:-332.3402,200,-228.4924;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_556;pos:-311.6347,200,-225.7665;rot:0,345,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_557;pos:-292.3402,200,-217.7745;rot:0,330,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_558;pos:-275.7716,200,-205.061;rot:0,315.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_559;pos:-205.061,200,-275.7716;rot:0,315.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_560;pos:-424.2641,300,-240.4163;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_561;pos:-397.3402,300,-261.0757;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_562;pos:-365.9867,300,-274.0628;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_563;pos:-332.3402,300,-278.4924;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_564;pos:-298.6937,300,-274.0628;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_565;pos:-267.3402,300,-261.0757;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_566;pos:-240.4163,300,-240.4163;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_567;pos:-424.2641,100,-240.4163;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_568;pos:-397.3402,100,-261.0757;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_569;pos:-365.9867,100,-274.0628;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_570;pos:-332.3402,100,-278.4924;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_571;pos:-298.6937,100,-274.0628;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_572;pos:-267.3402,100,-261.0757;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_573;pos:-240.4163,100,-240.4163;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_574;pos:-205.061,200,275.7716;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_575;pos:-217.7745,200,292.3402;rot:0,60.00003,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_576;pos:-225.7665,200,311.6347;rot:0,74.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_577;pos:-228.4924,200,332.3402;rot:0,90.00008,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_578;pos:-225.7665,200,353.0457;rot:0,105,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_579;pos:-217.7745,200,372.3402;rot:0,120,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_580;pos:-205.061,200,388.9087;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_581;pos:-275.7716,200,205.061;rot:0,44.99994,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_582;pos:-240.4163,300,240.4163;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_583;pos:-261.0757,300,267.3402;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_584;pos:-274.0628,300,298.6937;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_585;pos:-278.4924,300,332.3402;rot:0,90.00008,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_586;pos:-274.0628,300,365.9867;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_587;pos:-261.0757,300,397.3402;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_588;pos:-240.4163,300,424.2641;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_589;pos:-240.4163,100,240.4163;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_590;pos:-261.0757,100,267.3402;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_591;pos:-274.0628,100,298.6937;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_592;pos:-278.4924,100,332.3402;rot:0,90.00008,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_593;pos:-274.0628,100,365.9867;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_594;pos:-261.0757,100,397.3402;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_595;pos:-240.4163,100,424.2641;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_596;pos:-388.9087,200,205.061;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
