i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cone_1;pos:-57.37149,-806.7556,-149.0134;rot:1.239974,206.4332,180;m:cone;scl:1,0.4,1;t:metal1;til:5,5;;
i:cuboid_2;pos:-2000,800,-6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_3;pos:-6000,1400,-8000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_4;pos:-8000,3000,400;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_5;pos:6000,2000,6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_6;pos:8000,-800,0;rot:0,180,337.3801;m:cuboid;scl:160,0,160;mat:transparent;clr:255,255,255,200;;
i:cuboid_7;pos:-1530.734,-800,-3695.518;rot:0,22.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_8;pos:-1530.734,-800,3695.518;rot:0,157.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_9;pos:-2828.427,-800,-2828.427;rot:0,45,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_10;pos:-2828.427,-800,2828.427;rot:0,135,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_11;pos:-3695.518,-800,-1530.734;rot:0,67.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_12;pos:-3695.518,-800,1530.734;rot:0,112.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_13;pos:-4000,-800,0;rot:0,90,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_14;pos:0,-800,-4000;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_15;pos:0,-800,4000;rot:0,180,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_16;pos:1530.734,-800,-3695.518;rot:0,337.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_17;pos:1530.734,-800,3695.518;rot:0,202.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_18;pos:2828.427,-800,-2828.427;rot:0,315,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_19;pos:2828.427,-800,2828.427;rot:0,225,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_20;pos:3695.518,-800,-1530.734;rot:0,292.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_21;pos:3695.518,-800,1530.734;rot:0,247.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_22;pos:4000,-800,0;rot:0,270,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:sphere_920;pos:2.5534,-808.3928,21995.03;rot:0,180,0;m:sphere;scl:9.090909,9.090909,9.090909;t:earth1;clr:255,255,255,255;;
i:sphere_921;pos:10188.81,-831.661,-4232.796;rot:0,180,337.3801;m:sphere;scl:40.90909,40.90909,40.90909;t:earth2;til:0.04,0.04;clr:0,255,255,255;;
i:sphere_922;pos:844.6981,-787.4107,841.0671;rot:0,180,180;m:sphere;scl:13.63636,13.63636,13.63636;t:grass1;clr:255,178,127,255;;
i:sphere_923;pos:-1062.192,-794.9643,1257.676;rot:0,180,180;m:sphere;scl:5.454545,5.454545,5.454545;t:grass1;clr:153,127,229,255;;
i:sphere_924;pos:-2.04272,-793.2857,996.0208;rot:0,180,180;m:sphere;scl:7.272727,7.272727,7.272727;t:grass1;clr:153,127,229,255;;
i:sphere_925;pos:1845.206,-791.6072,-770.3409;rot:0,180,180;m:sphere;scl:9.090909,9.090909,9.090909;t:grass1;clr:153,76,0,255;;
i:sphere_926;pos:-1065.767,-783.2143,1050.712;rot:0,180,180;m:sphere;scl:18.18182,18.18182,18.18182;t:lava1;til:0.4,0.2;clr:0,255,255,255;;
i:statue2_927;pos:-59.5615,-802.7204,-149.1587;rot:0,208.781,0;m:statue2;scl:0.2,0.2,0.2;;
i:tube_928;pos:0.356873,-799.2706,-374;rot:270,0,0;m:tube;scl:3.333333,5.555555,3.333333;t:ice1;;
i:tube_929;pos:0.347951,-799.2889,-374.025;rot:270,0,0;m:tube;scl:3.25,5.416667,3.25;t:stone2;;
i:cuboid_931;pos:0,-1500,0;rot:0,180,0;m:cuboid;scl:10000,10,10000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_932;pos:-62.97347,-801.1079,-155.8674;rot:0,25.73089,0;m:cuboid;scl:0.2,0.2,0.2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_933;pos:-51.14942,-720.9466,-38.99186;rot:15.40004,171.8799,159.4;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_934;pos:0,-800,375;rot:0,0,180;m:cuboid;scl:5,5,5;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_935;pos:-125,-925,-176.7767;rot:330,35.26442,305.2644;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_936;pos:-163.3204,-732.3505,-176.7767;rot:15.69986,42.73426,73.67505;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_937;pos:-163.3204,-867.6495,-176.7767;rot:344.3001,42.73426,286.325;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_938;pos:-163.3204,-867.6495,176.7767;rot:344.3001,137.2657,253.675;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_939;pos:-163.3204,-963.3204,-95.67086;rot:319.2106,59.63883,290.941;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_940;pos:-163.3204,-963.3204,95.67086;rot:319.2106,120.3612,249.059;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_941;pos:-176.7767,-800,-176.7767;rot:0,45.00002,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_942;pos:-176.7767,-976.7767,0;rot:315,90,270;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_943;pos:-213.3884,-711.6116,-95.67086;rot:20.70484,65.8513,80.99285;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_944;pos:-213.3884,-888.3884,95.67086;rot:339.2952,114.1487,260.9929;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_945;pos:-230.9699,-895.6708,0;rot:337.4999,90,270;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_946;pos:-36.61165,-888.3884,230.9699;rot:339.2952,170.9929,204.1487;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_947;pos:-67.64951,-867.6495,-230.9699;rot:344.3001,16.32498,312.7342;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_948;pos:-88.38835,-1013.388,-95.67086;rot:301.3997,42.73418,312.7342;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_949;pos:-88.38835,-1013.388,95.67086;rot:301.3997,137.2658,227.2658;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_950;pos:-88.38835,-763.3884,-230.9699;rot:8.421113,20.94101,69.05899;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_951;pos:-88.38835,-836.6116,-230.9699;rot:351.5789,20.94101,290.941;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_952;pos:-95.67086,-1030.97,0;rot:292.5,90,270;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_953;pos:0,-1030.97,95.67086;rot:292.5,180,180;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_954;pos:0,-1050,0;rot:270,0,0;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_955;pos:0,-550,0;rot:90,0,0;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_956;pos:0,-569.0301,-95.67086;rot:67.49998,0,0;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_957;pos:0,-569.0301,95.67086;rot:67.49998,180,180;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_958;pos:0,-623.2233,176.7767;rot:44.99994,180,180;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_959;pos:0,-704.3292,-230.9699;rot:22.49997,0,0;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_960;pos:0,-895.6708,-230.9699;rot:337.5,0,0;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_961;pos:0,-895.6708,230.9699;rot:337.5,180,180;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_962;pos:0,-976.7767,176.7767;rot:315.0001,180,180;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_963;pos:125,-675,-176.7767;rot:29.99997,324.7356,305.2644;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_964;pos:125,-925,-176.7767;rot:330,324.7356,54.73558;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_965;pos:163.3204,-732.3505,-176.7767;rot:15.69986,317.2657,286.325;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_966;pos:163.3204,-867.6495,-176.7767;rot:344.3001,317.2657,73.67505;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_967;pos:163.3204,-963.3204,95.67086;rot:319.2106,239.6388,110.941;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_968;pos:176.7767,-623.2233,0;rot:44.99998,270,270;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_969;pos:176.7767,-800,-176.7767;rot:0,315,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_970;pos:213.3884,-711.6116,-95.67086;rot:20.70484,294.1487,279.0071;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_971;pos:213.3884,-711.6116,95.67086;rot:20.70484,245.8513,260.9929;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_972;pos:213.3884,-888.3884,-95.67086;rot:339.2952,294.1487,80.99285;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_973;pos:230.9699,-704.3292,0;rot:22.50008,270,270;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_974;pos:230.9699,-800,-95.67086;rot:0,292.5001,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_975;pos:230.9699,-800,95.67086;rot:0,247.4999,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_976;pos:230.9699,-895.6708,0;rot:337.4999,270,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_977;pos:250,-800,0;rot:0,270,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_978;pos:67.64951,-636.6796,176.7767;rot:40.78946,200.9411,210.3612;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_979;pos:88.38835,-586.6116,-95.67086;rot:58.60028,317.2658,312.7342;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_980;pos:88.38835,-586.6116,95.67086;rot:58.60028,222.7342,227.2658;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_981;pos:88.38835,-836.6116,-230.9699;rot:351.5789,339.059,69.05899;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_982;pos:95.67086,-569.0301,0;rot:67.49999,270,270;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_983;pos:95.67086,-800,-230.9699;rot:0,337.4999,90;m:cuboid;scl:1.4,12.18097,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_984;pos:-133.9392,-800,323.3578;rot:0,157.5,90;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_985;pos:-175,-975,247.4874;rot:330,144.7356,234.7356;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_986;pos:-228.6485,-1028.649,133.9392;rot:319.2106,120.3612,249.059;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_987;pos:-228.6485,-894.7093,247.4874;rot:344.3001,137.2657,253.675;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_988;pos:-247.4874,-1047.487,0;rot:315,90,270;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_989;pos:-247.4874,-800,-247.4874;rot:0,45.00002,90;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_990;pos:-298.7437,-923.7437,-133.9392;rot:339.2952,65.8513,279.0071;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_991;pos:-298.7437,-923.7437,133.9392;rot:339.2952,114.1487,260.9929;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_992;pos:-323.3578,-933.9392,0;rot:337.4999,90,270;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_993;pos:-94.70932,-571.3515,-247.4874;rot:40.78946,20.94105,30.36122;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_994;pos:-94.70932,-705.2907,-323.3578;rot:15.69986,16.32498,47.26579;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_995;pos:0,-476.6422,-133.9392;rot:67.49998,0,0;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_996;pos:0,-552.5126,247.4874;rot:44.99994,180,180;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_997;pos:0,-933.9392,-323.3578;rot:337.5,0,0;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_998;pos:0,-933.9392,323.3578;rot:337.5,180,180;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_999;pos:123.7437,-748.7437,-323.3578;rot:8.421113,339.059,290.941;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1000;pos:175,-625,-247.4874;rot:29.99997,324.7356,305.2644;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1001;pos:175,-975,-247.4874;rot:330,324.7356,54.73558;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1002;pos:228.6485,-1028.649,-133.9392;rot:319.2106,300.3612,69.05899;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1003;pos:228.6485,-1028.649,133.9392;rot:319.2106,239.6388,110.941;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1004;pos:228.6485,-571.3515,-133.9392;rot:40.78942,300.3612,290.941;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1005;pos:228.6485,-571.3515,133.9392;rot:40.78942,239.6388,249.059;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1006;pos:228.6485,-705.2907,-247.4874;rot:15.69986,317.2657,286.325;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1007;pos:228.6485,-705.2907,247.4874;rot:15.69986,222.7343,253.675;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1008;pos:247.4874,-552.5126,0;rot:44.99998,270,270;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1009;pos:298.7437,-676.2563,-133.9392;rot:20.70484,294.1487,279.0071;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1010;pos:323.3578,-800,-133.9392;rot:0,292.5001,90;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1011;pos:323.3578,-800,133.9392;rot:0,247.4999,90;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1012;pos:323.3578,-933.9392,0;rot:337.4999,270,90;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1013;pos:51.25631,-676.2563,-323.3578;rot:20.70484,350.9929,335.8513;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1014;pos:94.70932,-571.3515,-247.4874;rot:40.78946,339.059,329.6388;m:cuboid;scl:1.4,16.10796,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1015;pos:-106.066,-800,-106.066;rot:0,45.00002,90;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1016;pos:-106.066,-906.066,0;rot:315,90,270;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1017;pos:-128.033,-746.967,-57.40252;rot:20.70484,65.8513,80.99285;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1018;pos:-128.033,-853.033,-57.40252;rot:339.2952,65.8513,279.0071;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1019;pos:-138.5819,-800,-57.40252;rot:0,67.49992,90;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1020;pos:-138.5819,-857.4025,0;rot:337.4999,90,270;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1021;pos:-40.58971,-840.5897,-138.5819;rot:344.3001,16.32498,312.7342;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1022;pos:-53.03301,-778.033,-138.5819;rot:8.421113,20.94101,69.05899;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1023;pos:-53.03301,-821.967,-138.5819;rot:351.5789,20.94101,290.941;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1024;pos:-53.03301,-928.033,-57.40252;rot:301.3997,42.73418,312.7342;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1025;pos:-53.03301,-928.033,57.40252;rot:301.3997,137.2658,227.2658;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1026;pos:-57.40252,-938.5819,0;rot:292.5,90,270;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1027;pos:-75,-875,-106.066;rot:330,35.26442,305.2644;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1028;pos:-97.99223,-702.0078,-57.40252;rot:40.78942,59.63883,69.05899;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1029;pos:-97.99223,-759.4103,-106.066;rot:15.69986,42.73426,73.67505;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1030;pos:-97.99223,-840.5897,-106.066;rot:344.3001,42.73426,286.325;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1031;pos:-97.99223,-897.9922,-57.40252;rot:319.2106,59.63883,290.941;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1032;pos:0,-650,0;rot:90,0,0;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1033;pos:0,-906.066,-106.066;rot:315.0001,0,0;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1034;pos:106.066,-800,-106.066;rot:0,315,90;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1035;pos:106.066,-906.066,0;rot:315,270,90;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1036;pos:128.033,-746.967,-57.40252;rot:20.70484,294.1487,279.0071;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1037;pos:128.033,-853.033,-57.40252;rot:339.2952,294.1487,80.99285;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1038;pos:128.033,-853.033,57.40252;rot:339.2952,245.8513,99.00715;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1039;pos:138.5819,-742.5975,0;rot:22.50008,270,270;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1040;pos:138.5819,-800,-57.40252;rot:0,292.5001,90;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1041;pos:138.5819,-857.4025,0;rot:337.4999,270,90;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1042;pos:53.03301,-671.967,-57.40252;rot:58.60028,317.2658,312.7342;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1043;pos:53.03301,-928.033,-57.40252;rot:301.3997,317.2658,47.26583;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1044;pos:75,-725,-106.066;rot:29.99997,324.7356,305.2644;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1045;pos:97.99223,-702.0078,-57.40252;rot:40.78942,300.3612,290.941;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1046;pos:97.99223,-759.4103,-106.066;rot:15.69986,317.2657,286.325;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1047;pos:97.99223,-840.5897,-106.066;rot:344.3001,317.2657,73.67505;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1048;pos:97.99223,-897.9922,-57.40252;rot:319.2106,300.3612,69.05899;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1049;pos:97.99223,-897.9922,57.40252;rot:319.2106,239.6388,110.941;m:cuboid;scl:1.4,8.253982,10.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1050;pos:0,-800,-100;rot:0,0,11.24998;m:cuboid;scl:1.640868,4.71969,1.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_1051;pos:0,-800,-100;rot:0,0,33.75005;m:cuboid;scl:1.640868,4.71969,1.4;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
